Open,High,Low,Close,Volume,Open Time,Close Time,Crypto
3933.232269901015,3964.1229098715958,3916.948606421804,3964.1229098715958,514672607073.1978,2025-10-25 00:00:00,2025-10-26 00:00:00,ETH
3954.0041199084208,4164.681493766204,3930.1070671161,4164.681493766204,385750731688.395,2025-10-26 00:00:00,2025-10-27 00:00:00,ETH
4161.590896249249,4232.019240027213,4116.3675585614255,4116.3675585614255,819155375077.484,2025-10-27 00:00:00,2025-10-28 00:00:00,ETH
4123.206220671679,4154.123019894714,3980.9918251171143,3995.6621517984677,775486060355.467,2025-10-28 00:00:00,2025-10-29 00:00:00,ETH
3982.3127893175442,4027.1828925514474,3973.6578078075363,4018.3872618290557,349838795686.2158,2025-10-29 00:00:00,,ETH
3.1603962158442886,3.1730479305211925,3.0358266735981423,3.0358266735981423,81363873056.9171,2025-07-31 00:00:00,2025-08-01 00:00:00,XRP
3.020435195708263,3.045384519635547,2.9230996625260466,2.9233456495243986,190682322335.45508,2025-08-01 00:00:00,2025-08-02 00:00:00,XRP
2.964523009036104,3.0147558371813705,2.7695898208993954,2.802938285119359,165754346197.19254,2025-08-02 00:00:00,2025-08-03 00:00:00,XRP
2.7793648596376164,2.944913740064499,2.7793648596376164,2.944913740064499,169798267502.2091,2025-08-03 00:00:00,2025-08-04 00:00:00,XRP
2.9453312903679385,3.081213377730507,2.9453312903679385,3.081213377730507,126539142578.30273,2025-08-04 00:00:00,2025-08-05 00:00:00,XRP
3.0727905982283095,3.089059636721105,2.9261655814123673,2.9601583005896646,122651184918.73943,2025-08-05 00:00:00,2025-08-06 00:00:00,XRP
2.962593257950056,3.0088055177774087,2.9134043801184055,2.9979559862102527,116443071788.48216,2025-08-06 00:00:00,2025-08-07 00:00:00,XRP
2.992045726720115,3.3067734191319587,2.9709526095247965,3.3067734191319587,105527870332.05914,2025-08-07 00:00:00,2025-08-08 00:00:00,XRP
3.3160522104113537,3.3626031211969796,3.222741608402114,3.291231803390248,241209651108.4325,2025-08-08 00:00:00,2025-08-09 00:00:00,XRP
3.2864099451794653,3.338855044021481,3.2270779556759965,3.2270779556759965,145292824496.85617,2025-08-09 00:00:00,2025-08-10 00:00:00,XRP
3.228782165827109,3.270728979896381,3.1705963219838864,3.183401608831192,120094650329.05643,2025-08-10 00:00:00,2025-08-11 00:00:00,XRP
3.1861250802346888,3.310314303245687,3.128432099850937,3.1400604453326824,143125383010.00278,2025-08-11 00:00:00,2025-08-12 00:00:00,XRP
3.132723694159237,3.2814770135583604,3.1243506485961605,3.2710161569194436,191955826883.22348,2025-08-12 00:00:00,2025-08-13 00:00:00,XRP
3.2614079529795235,3.2908291721901897,3.215289612057955,3.2778086254240777,203188866780.75525,2025-08-13 00:00:00,2025-08-14 00:00:00,XRP
